Country,Official language,Regional language,Minority language,National language,Widely spoken
Abkhazia[a],Abkhaz Russian,,Georgian,Abkhaz,
Afghanistan[1],Pashto Dari,Uzbek[b] Turkmen[b] Pashai[b] Nuristani[b] Balochi[b] Pamiri[b],,,
Albania[2],Albanian,,Greek Macedonian Aromanian,,Italian
Algeria[3],Arabic Tamazight,,,Arabic Tamazight,French
Andorra,Catalan[4],,Spanish French Portuguese,,
Angola[5],Portuguese,,,Kimbundu Umbundu Kikongo Chokwe Kwanyama Ganguela[citation needed],
Antigua and Barbuda,English (de facto)[6],,,,
Argentina,Spanish (de facto),Spanish (in Corrientes and Chaco)[7][8] Guaraní (in Corrientes)[7] Kom (in Chaco)[8] Moquoit (in Chaco)[8] Wichi (in Chaco)[8],,,
Armenia,Armenian,,,Armenian (state language)[9],
Artsakh[a],Armenian,,,,
Australia,English (de facto),,,,
Austria[10][11],German,Croatian (parts of Burgenland) Hungarian (parts of Burgenland) Slovene (parts of Carinthia),Slovene Czech Hungarian Slovak Romani Serbian,German (state language),
Azerbaijan,Azerbaijani,,,Azerbaijani (state language)[12],
Bahamas,English,,,,
Bahrain,Arabic,,,,
Bangladesh,Bengali,,,Bengali,
Barbados,English,,,,
Belarus,Belarusian Russian,,,,
Belgium,Dutch, "Dutch, French, German","Dutch (Flanders, Brussels)[13] French (Brussels, Wallonia)[13] German (German-speaking community)[13]",,,
Belize,English,Spanish (border with Mexico and Guatemala),,,Kriol (lingua franca)
Benin,French,,,,
Bhutan,Dzongkha,,,,
Bolivia[14],Castilian (37 other languages),,,,
Bosnia and Herzegovina,Bosnian (de facto)[15] Croatian (de facto)[15] Serbian (de facto)[15],,,,
Botswana,English Tswana,,,Tswana,
